mm-yyyy,ruta_venta,total_cajas,total_dinero,cantidad_de_ordenes,ofertas_aplicadas,sku_activados,cantidad_facturas_venta,clientes_activados,total_clientes,total_sku_portafolio,sku_x_factura,ros_factura,month,sin_month,cos_month,expected_total_dinero
07-2025,RUTA 01,3945.23,8715291.71,234.0,266.0,90.0,217.0,103.0,108,215,0.41,40117.46,7,-0.4999999999999997,-0.8660254037844388,8937858.03455637
08-2025,RUTA 01,5040.12,7573668.06,189.0,213.0,72.0,194.0,94.0,108,215,0.37,39123.05,8,-0.8660254037844385,-0.5000000000000004,7325774.251263961
09-2025,RUTA 01,4244.1,8393716.35,167.0,213.0,83.0,166.0,92.0,108,215,0.5,50676.61,9,-1.0,-1.8369701987210297e-16,7954651.199945856
10-2025,RUTA 01,4601.47,11964232.95,201.0,242.0,86.0,137.0,93.0,108,215,0.63,87285.91,10,-0.8660254037844386,0.5000000000000001,13471026.595492505
11-2025,RUTA 01,4326.66,13006671.05,194.0,245.0,87.0,157.0,99.0,108,215,0.55,82882.63,11,-0.5000000000000004,0.8660254037844384,13784194.715611048
12-2025,RUTA 01,6226.48,12972114.17,239.0,362.0,99.0,259.0,132.0,108,215,0.38,49997.74,12,-2.4492935982947064e-16,1.0,13291027.294561855
01-2026,RUTA 01,3025.76,7157378.11,181.0,189.0,63.0,171.0,79.0,108,215,0.37,41797.38,1,0.49999999999999994,0.8660254037844387,6474402.91127431
02-2026,RUTA 01,4305.96,6604128.31,212.0,178.0,76.0,191.0,78.0,108,215,0.4,34541.03,2,0.8660254037844386,0.5000000000000001,6286857.330074616
03-2026,RUTA 01,4544.61,11376383.95,166.0,243.0,91.0,210.0,87.0,108,215,0.43,54234.36,3,1.0,6.123233995736766e-17,11327996.231531408
04-2026,RUTA 01,3212.22,10098061.27,206.0,247.0,92.0,172.0,95.0,108,215,0.53,58786.83,4,0.8660254037844387,-0.4999999999999998,9936049.596373517
05-2026,RUTA 01,4640.08,8019045.21,240.0,257.0,76.0,208.0,89.0,108,215,0.37,38645.08,5,0.49999999999999994,-0.8660254037844387,8106557.029800076
06-2026,RUTA 01,5534.43,12277915.19,204.0,303.0,101.0,231.0,113.0,108,215,0.44,53043.24,6,1.2246467991473532e-16,-1.0,12312536.103151858
07-2026,RUTA 01,4644.83,8995341.72,203.0,227.0,97.0,219.0,105.0,108,215,0.44,41021.53,7,-0.4999999999999997,-0.8660254037844388,9236466.488642242
08-2026,RUTA 01,5172.42,9468684.62,233.0,228.0,117.0,208.0,90.0,108,215,0.56,45469.35,8,-0.8660254037844385,-0.5000000000000004,9595905.528549932
09-2026,RUTA 01,3502.15,10368813.08,198.0,271.0,94.0,190.0,90.0,108,215,0.49,54535.33,9,-1.0,-1.8369701987210297e-16,10223573.848325063
10-2026,RUTA 01,3119.38,8770635.05,222.0,250.0,76.0,197.0,96.0,108,215,0.38,44479.29,10,-0.8660254037844386,0.5000000000000001,8577653.56587014
11-2026,RUTA 01,3699.5,9913570.86,205.0,191.0,93.0,208.0,100.0,108,215,0.45,47645.49,11,-0.5000000000000004,0.8660254037844384,9880466.570893977
12-2026,RUTA 01,6817.48,10104438.56,245.0,338.0,121.0,265.0,142.0,108,215,0.46,38070.27,12,-2.4492935982947064e-16,1.0,11313707.686795525
01-2027,RUTA 01,4595.66,10867359.11,205.0,248.0,77.0,195.0,81.0,108,215,0.4,55715.48,1,0.49999999999999994,0.8660254037844387,10718212.06464246
02-2027,RUTA 01,3879.75,7952282.55,187.0,322.0,61.0,194.0,77.0,108,215,0.31,41081.23,2,0.8660254037844386,0.5000000000000001,7713169.621564671
03-2027,RUTA 01,4137.98,11915788.46,207.0,197.0,82.0,213.0,91.0,108,215,0.38,55844.26,3,1.0,6.123233995736766e-17,11808320.682752766
04-2027,RUTA 01,4786.93,10046455.36,192.0,341.0,96.0,140.0,96.0,108,215,0.69,71513.8,4,0.8660254037844387,-0.4999999999999998,10499335.211056754
05-2027,RUTA 01,3997.59,11630494.85,190.0,241.0,95.0,220.0,88.0,108,215,0.43,52983.93,5,0.49999999999999994,-0.8660254037844387,11717109.044585887
06-2027,RUTA 01,4779.75,10205112.27,214.0,351.0,103.0,182.0,109.0,108,215,0.57,56170.44,6,1.2246467991473532e-16,-1.0,10003143.028590616
07-2027,RUTA 01,7082.34,13145299.5,195.0,251.0,113.0,197.0,107.0,108,215,0.57,66637.26,7,-0.4999999999999997,-0.8660254037844388,13033864.093112614
08-2027,RUTA 01,5388.02,8451736.03,207.0,102.0,80.0,190.0,88.0,108,215,0.42,44366.94,8,-0.8660254037844385,-0.5000000000000004,8189674.171310332
09-2027,RUTA 01,6214.15,7536458.67,199.0,256.0,106.0,158.0,101.0,108,215,0.67,47564.89,9,-1.0,-1.8369701987210297e-16,6875630.773861557
10-2027,RUTA 01,4713.83,8458716.93,220.0,260.0,84.0,200.0,93.0,108,215,0.42,42223.19,10,-0.8660254037844386,0.5000000000000001,8340104.239373863
11-2027,RUTA 01,4831.05,11731177.03,245.0,195.0,114.0,145.0,94.0,108,215,0.78,80917.0,11,-0.5000000000000004,0.8660254037844384,12761655.060926352
12-2027,RUTA 01,6724.67,14210200.05,260.0,318.0,113.0,243.0,128.0,108,215,0.47,58501.84,12,-2.4492935982947064e-16,1.0,14094805.240749605
01-2028,RUTA 01,4627.04,8143749.9,210.0,242.0,91.0,197.0,81.0,108,215,0.46,41256.6,1,0.49999999999999994,0.8660254037844387,8009682.952961557
02-2028,RUTA 01,3768.91,11072788.53,204.0,227.0,83.0,216.0,83.0,108,215,0.39,51281.13,2,0.8660254037844386,0.5000000000000001,11105706.695655163
03-2028,RUTA 01,5328.57,10310398.79,207.0,306.0,100.0,224.0,102.0,108,215,0.45,46110.51,3,1.0,6.123233995736766e-17,10531461.073469277
04-2028,RUTA 01,4843.3,12167561.01,206.0,271.0,90.0,204.0,99.0,108,215,0.44,59610.43,4,0.8660254037844387,-0.4999999999999998,12006863.923752554
05-2028,RUTA 01,4050.59,15120686.98,191.0,200.0,104.0,224.0,99.0,108,215,0.47,67470.33,5,0.49999999999999994,-0.8660254037844387,14816854.787602313
06-2028,RUTA 01,5960.82,12000586.57,215.0,287.0,94.0,250.0,104.0,108,215,0.38,47989.34,6,1.2246467991473532e-16,-1.0,12468041.358945511
07-2028,RUTA 01,4565.66,11442682.27,245.0,257.0,92.0,230.0,107.0,108,215,0.4,49733.75,7,-0.4999999999999997,-0.8660254037844388,11621999.84884647
08-2028,RUTA 01,4406.73,10100230.6,220.0,191.0,77.0,183.0,95.0,108,215,0.42,55154.04,8,-0.8660254037844385,-0.5000000000000004,9875781.361328341
09-2028,RUTA 01,5230.57,14237679.2,235.0,252.0,92.0,176.0,96.0,108,215,0.53,81108.37,9,-1.0,-1.8369701987210297e-16,14641082.47321247
10-2028,RUTA 01,4659.4,11906243.07,197.0,285.0,109.0,201.0,98.0,108,215,0.54,59130.17,10,-0.8660254037844386,0.5000000000000001,11798408.201402552
11-2028,RUTA 01,5650.86,10451534.38,221.0,262.0,94.0,183.0,96.0,108,215,0.51,57127.42,11,-0.5000000000000004,0.8660254037844384,10283707.606520195
12-2028,RUTA 01,6978.65,17885814.01,304.0,444.0,112.0,292.0,126.0,108,215,0.38,61252.29,12,-2.4492935982947064e-16,1.0,17599590.00901792
01-2029,RUTA 01,6699.1,8571888.33,176.0,208.0,60.0,170.0,83.0,108,215,0.35,50321.46,1,0.49999999999999994,0.8660254037844387,8083160.402651779
02-2029,RUTA 01,4676.26,11115156.29,239.0,283.0,78.0,160.0,89.0,108,215,0.48,69434.77,2,0.8660254037844386,0.5000000000000001,11321642.18989177
03-2029,RUTA 01,3715.65,15591697.25,246.0,242.0,75.0,246.0,96.0,108,215,0.3,63396.5,3,1.0,6.123233995736766e-17,15257738.390537824
04-2029,RUTA 01,6324.89,8190680.73,205.0,266.0,94.0,195.0,100.0,108,215,0.48,42098.89,4,0.8660254037844387,-0.4999999999999998,7991260.148907237
05-2029,RUTA 01,4003.89,11447439.17,222.0,292.0,101.0,176.0,89.0,108,215,0.58,65208.22,5,0.49999999999999994,-0.8660254037844387,11511997.54656836
06-2029,RUTA 01,6929.68,13761543.52,225.0,370.0,104.0,264.0,107.0,108,215,0.4,52208.45,6,1.2246467991473532e-16,-1.0,14164468.294259906
07-2029,RUTA 01,7762.52,17033422.76,237.0,343.0,110.0,270.0,101.0,108,215,0.41,63146.21,7,-0.4999999999999997,-0.8660254037844388,16758639.341137469
08-2029,RUTA 01,5862.12,14379326.76,180.0,212.0,72.0,202.0,101.0,108,215,0.35,71265.75,8,-0.8660254037844385,-0.5000000000000004,14163177.880516917
09-2029,RUTA 01,6731.63,12246012.11,260.0,203.0,75.0,209.0,99.0,108,215,0.36,58729.2,9,-1.0,-1.8369701987210297e-16,12140334.861887489
10-2029,RUTA 01,5163.88,7445456.58,220.0,207.0,102.0,221.0,92.0,108,215,0.46,33630.6,10,-0.8660254037844386,0.5000000000000001,7956035.398682866
11-2029,RUTA 01,4683.1,9808938.2,221.0,319.0,84.0,226.0,94.0,108,215,0.37,43407.29,11,-0.5000000000000004,0.8660254037844384,10119903.625406668
12-2029,RUTA 01,5982.53,15770539.64,266.0,328.0,110.0,333.0,126.0,108,215,0.33,47358.08,12,-2.4492935982947064e-16,1.0,17263269.786162175
01-2030,RUTA 01,4000.26,11660824.85,199.0,236.0,92.0,213.0,85.0,108,215,0.43,54655.15,1,0.49999999999999994,0.8660254037844387,11616598.397007648
02-2030,RUTA 01,4147.9,10593659.08,148.0,172.0,101.0,240.0,86.0,108,215,0.42,44119.52,2,0.8660254037844386,0.5000000000000001,11144085.76212046
03-2030,RUTA 01,5919.03,13303011.31,298.0,332.0,94.0,185.0,89.0,108,215,0.51,71907.99,3,1.0,6.123233995736766e-17,13390476.869375553
04-2030,RUTA 01,5546.04,10858829.34,192.0,244.0,83.0,264.0,102.0,108,215,0.32,41139.46,4,0.8660254037844387,-0.4999999999999998,11886115.051227294
05-2030,RUTA 01,5342.85,16272171.46,228.0,234.0,113.0,230.0,92.0,108,215,0.49,70618.59,5,0.49999999999999994,-0.8660254037844387,15880716.747862179
06-2030,RUTA 01,5706.48,11999603.79,217.0,353.0,127.0,195.0,110.0,108,215,0.65,61644.29,6,1.2246467991473532e-16,-1.0,11943834.07448259
07-2030,RUTA 01,5233.5,13019852.28,236.0,264.0,106.0,212.0,109.0,108,215,0.5,61376.56,7,-0.4999999999999997,-0.8660254037844388,12883426.299868252
08-2030,RUTA 01,5364.11,12411900.57,206.0,251.0,105.0,231.0,93.0,108,215,0.45,53727.42,8,-0.8660254037844385,-0.5000000000000004,12560504.506320775
09-2030,RUTA 01,5549.23,14923573.17,188.0,309.0,89.0,234.0,94.0,108,215,0.38,63860.76,9,-1.0,-1.8369701987210297e-16,14681689.833372112
10-2030,RUTA 01,3491.5,9149530.03,230.0,296.0,86.0,236.0,89.0,108,215,0.36,38716.14,10,-0.8660254037844386,0.5000000000000001,9830810.948312022
11-2030,RUTA 01,5414.06,10245778.54,214.0,286.0,87.0,206.0,103.0,108,215,0.42,49739.09,11,-0.5000000000000004,0.8660254037844384,10147836.771568537
12-2030,RUTA 01,6526.59,19438188.85,272.0,397.0,142.0,209.0,123.0,108,215,0.68,93132.85,12,-2.4492935982947064e-16,1.0,19040170.023883138
01-2031,RUTA 01,5617.66,11578309.58,217.0,225.0,88.0,192.0,95.0,108,215,0.46,60271.14,1,0.49999999999999994,0.8660254037844387,11422779.069180015
02-2031,RUTA 01,5282.58,13026302.01,198.0,232.0,82.0,209.0,86.0,108,215,0.39,62226.72,2,0.8660254037844386,0.5000000000000001,12846347.256821759
03-2031,RUTA 01,5901.89,18909947.72,253.0,270.0,111.0,207.0,87.0,108,215,0.53,91202.55,3,1.0,6.123233995736766e-17,18595662.876053777
04-2031,RUTA 01,4472.4,8896659.77,224.0,289.0,116.0,230.0,97.0,108,215,0.51,38621.96,4,0.8660254037844387,-0.4999999999999998,9490929.511933587
05-2031,RUTA 01,6558.28,8075662.1,239.0,330.0,80.0,256.0,100.0,108,215,0.31,31546.95,5,0.49999999999999994,-0.8660254037844387,9532307.591328941
06-2031,RUTA 01,5744.31,16923098.87,313.0,329.0,110.0,229.0,104.0,108,215,0.48,73749.69,6,1.2246467991473532e-16,-1.0,16427679.481375445
07-2031,RUTA 01,7181.32,13133404.42,260.0,295.0,113.0,254.0,114.0,108,215,0.44,51606.28,7,-0.4999999999999997,-0.8660254037844388,13479466.61140344
08-2031,RUTA 01,5114.79,13360478.28,211.0,268.0,102.0,246.0,94.0,108,215,0.42,54320.14,8,-0.8660254037844385,-0.5000000000000004,13561048.626719505
09-2031,RUTA 01,6714.25,17767231.99,246.0,393.0,89.0,185.0,89.0,108,215,0.48,96275.55,9,-1.0,-1.8369701987210297e-16,18223515.05451816
10-2031,RUTA 01,7461.8,16010544.25,235.0,309.0,85.0,300.0,100.0,108,215,0.28,53430.45,10,-0.8660254037844386,0.5000000000000001,16527291.396954749
11-2031,RUTA 01,5893.45,16309473.49,249.0,307.0,89.0,239.0,109.0,108,215,0.37,68264.65,11,-0.5000000000000004,0.8660254037844384,15806237.328368675
12-2031,RUTA 01,9087.04,23104114.34,296.0,331.0,127.0,294.0,135.0,108,215,0.43,78593.32,12,-2.4492935982947064e-16,1.0,21183548.18096112
01-2032,RUTA 01,3265.41,17265376.66,210.0,244.0,77.0,151.0,94.0,108,215,0.51,114322.45,1,0.49999999999999994,0.8660254037844387,19659342.51758159
02-2032,RUTA 01,5341.33,9638308.95,182.0,250.0,108.0,195.0,81.0,108,215,0.56,49381.38,2,0.8660254037844386,0.5000000000000001,9531160.810188785
03-2032,RUTA 01,5575.79,13988702.24,171.0,296.0,96.0,248.0,109.0,108,215,0.39,56319.12,3,1.0,6.123233995736766e-17,13940855.365735762
04-2032,RUTA 01,7215.17,14092631.42,212.0,440.0,100.0,227.0,99.0,108,215,0.44,61948.78,4,0.8660254037844387,-0.4999999999999998,13877118.415877923
05-2032,RUTA 01,6147.22,14535412.39,226.0,271.0,99.0,210.0,96.0,108,215,0.47,69072.42,5,0.49999999999999994,-0.8660254037844387,14307203.185967866
06-2032,RUTA 01,6657.75,15824327.8,303.0,187.0,122.0,290.0,98.0,108,215,0.42,54473.48,6,1.2246467991473532e-16,-1.0,16323429.918666445
07-2032,RUTA 01,6149.93,15599219.61,230.0,290.0,97.0,307.0,115.0,108,215,0.31,50761.43,7,-0.4999999999999997,-0.8660254037844388,16404964.565342646
08-2032,RUTA 01,7509.79,17302846.41,213.0,275.0,106.0,190.0,104.0,108,215,0.55,90875.32,8,-0.8660254037844385,-0.5000000000000004,17431908.40070103
09-2032,RUTA 01,5723.16,14263960.29,261.0,329.0,96.0,267.0,94.0,108,215,0.36,53439.12,9,-1.0,-1.8369701987210297e-16,14642208.231873482
10-2032,RUTA 01,6780.89,17161999.7,235.0,324.0,85.0,260.0,99.0,108,215,0.33,65993.75,10,-0.8660254037844386,0.5000000000000001,16638949.341827687
11-2032,RUTA 01,5428.55,18605450.63,226.0,228.0,82.0,250.0,93.0,108,215,0.33,74273.34,11,-0.5000000000000004,0.8660254037844384,17694303.004277658
12-2032,RUTA 01,10050.37,14236826.95,362.0,412.0,130.0,284.0,132.0,108,215,0.46,50202.39,12,-2.4492935982947064e-16,1.0,14991015.986775137
01-2033,RUTA 01,5455.65,17439195.73,224.0,286.0,86.0,207.0,92.0,108,215,0.42,84185.63,1,0.49999999999999994,0.8660254037844387,17084383.774878476
02-2033,RUTA 01,3425.04,10265133.6,240.0,289.0,89.0,210.0,92.0,108,215,0.42,48856.75,2,0.8660254037844386,0.5000000000000001,10262160.270009879
03-2033,RUTA 01,5498.59,13636218.28,251.0,256.0,106.0,178.0,106.0,108,215,0.59,76527.87,3,1.0,6.123233995736766e-17,13828163.28906117
04-2033,RUTA 01,6774.74,16844217.67,272.0,406.0,113.0,174.0,93.0,108,215,0.65,96729.03,4,0.8660254037844387,-0.4999999999999998,17678671.42769832
05-2033,RUTA 01,5438.77,16258944.93,261.0,272.0,104.0,210.0,97.0,108,215,0.49,77448.11,5,0.49999999999999994,-0.8660254037844387,16001343.736744974
06-2033,RUTA 01,5109.62,15096928.21,238.0,290.0,124.0,228.0,125.0,108,215,0.55,66320.77,6,1.2246467991473532e-16,-1.0,14807995.378050968
07-2033,RUTA 01,7512.49,18604106.91,251.0,387.0,105.0,263.0,125.0,108,215,0.4,70662.83,7,-0.4999999999999997,-0.8660254037844388,17720285.540043827
08-2033,RUTA 01,6172.59,20062310.52,231.0,314.0,123.0,216.0,111.0,108,215,0.57,92998.85,8,-0.8660254037844385,-0.5000000000000004,19447636.52777907
09-2033,RUTA 01,7214.28,14863265.46,267.0,373.0,110.0,185.0,97.0,108,215,0.59,80241.9,9,-1.0,-1.8369701987210297e-16,15070763.132613745
10-2033,RUTA 01,6031.9,16492920.22,267.0,329.0,86.0,250.0,104.0,108,215,0.34,65964.56,10,-0.8660254037844386,0.5000000000000001,16036775.73825454
11-2033,RUTA 01,7085.95,20249999.65,273.0,346.0,102.0,183.0,103.0,108,215,0.55,110560.47,11,-0.5000000000000004,0.8660254037844384,20917460.238756735
12-2033,RUTA 01,8584.57,22898272.58,294.0,354.0,146.0,309.0,135.0,108,215,0.47,74112.42,12,-2.4492935982947064e-16,1.0,21257888.844299123
01-2034,RUTA 01,5819.53,15452007.89,252.0,259.0,94.0,200.0,89.0,108,215,0.47,77266.84,1,0.49999999999999994,0.8660254037844387,15340979.691022191
02-2034,RUTA 01,5408.25,16174604.98,215.0,364.0,82.0,210.0,89.0,108,215,0.39,77147.74,2,0.8660254037844386,0.5000000000000001,15859186.246587805
03-2034,RUTA 01,8354.47,17928643.79,281.0,236.0,106.0,270.0,102.0,108,215,0.39,66357.57,3,1.0,6.123233995736766e-17,17376185.839500893
04-2034,RUTA 01,7892.85,15718362.8,292.0,460.0,99.0,226.0,109.0,108,215,0.44,69502.69,4,0.8660254037844387,-0.4999999999999998,15309901.592576653
05-2034,RUTA 01,8597.5,15804846.42,244.0,309.0,87.0,211.0,96.0,108,215,0.41,74961.87,5,0.49999999999999994,-0.8660254037844387,15509832.843364973
06-2034,RUTA 01,6209.31,19288760.37,288.0,452.0,102.0,300.0,111.0,108,215,0.34,64375.71,6,1.2246467991473532e-16,-1.0,18738846.10666435
